Brand,Age,kmDriven,Transmission,Owner,FuelType,AskPrice,AskPrice_Log
Volkswagen,9,60000.0,Manual,second,petrol,460000,13.038983942375959
Toyota,7,34000.0,Manual,first,diesel,1395000,14.148405690083225
Jeep,7,49000.0,Automatic,first,petrol,1151111,13.956238989659866
Hyundai,8,36000.0,Manual,second,petrol,450000,13.017005083966255
Mahindra,8,85000.0,Manual,second,diesel,320000,12.676079399771027
Mahindra,1,35000.0,Automatic,second,diesel,1050000,13.864301674514206
Honda,9,160000.0,Manual,second,diesel,275000,12.524530013005734
Maruti Suzuki,14,141000.0,Manual,second,diesel,330000,12.706850963741102
Land Rover,12,23100.0,Automatic,second,diesel,4795000,15.383084474850227
Hyundai,10,100000.0,Manual,first,petrol,950000,13.76421831620775
Hyundai,8,88000.0,Manual,second,diesel,860000,13.664688831019712
Porsche,1,51000.0,Automatic,first,petrol,8900000,16.001561947061912
Maruti Suzuki,7,76000.0,Manual,second,petrol,480000,13.081543466215237
BMW,5,50000.0,Automatic,second,diesel,4000000,15.201805169084134
Mercedes-Benz,10,48000.0,Automatic,first,diesel,1745000,14.372265686684402
Mahindra,0,16666.0,Automatic,first,diesel,2599999,14.77102200299171
Skoda,2,38917.0,Manual,first,petrol,1225000,14.018452218287162
Maruti Suzuki,8,55000.0,Automatic,first,petrol,655000,13.39239204133378
Nissan,9,84000.0,Manual,second,diesel,500000,13.122365377402328
Hyundai,10,120000.0,Automatic,second,diesel,550000,13.217675375388819
Maruti Suzuki,2,8638.0,Manual,first,petrol,1150000,13.955273369904273
Maruti Suzuki,11,62000.0,Manual,second,petrol,350000,12.765691290604371
Maruti Suzuki,11,300000.0,Manual,second,petrol,350000,12.765691290604371
Honda,10,86131.0,Manual,second,diesel,300000,12.611541086966115
Maruti Suzuki,3,29000.0,Automatic,first,petrol,765000,13.547632419997361
MG,0,260.0,Manual,first,petrol,1495000,14.217637433703022
Hyundai,1,15120.0,Automatic,first,petrol,1550000,14.253766134056512
Tata,3,210000.0,Manual,second,petrol,535000,13.190023895035274
MG,2,11000.0,Automatic,first,petrol,1850000,14.430696737594902
Maruti Suzuki,7,63000.0,Manual,first,petrol,750000,13.527829818844937
Skoda,3,41189.0,Automatic,first,petrol,1225000,14.018452218287162
Mahindra,2,20000.0,Manual,first,diesel,1945000,14.480773049173369
Mercedes-Benz,13,64000.0,Automatic,second,diesel,975000,13.790193775620484
Kia,4,62500.0,Manual,first,diesel,945000,13.758941264676379
Toyota,12,121000.0,Manual,first,diesel,400000,12.899222326086994
Maruti Suzuki,6,38000.0,Manual,second,petrol,480000,13.081543466215237
Mahindra,3,30000.0,Automatic,first,diesel,1540000,14.24729362374025
Maruti Suzuki,14,130000.0,Manual,second,diesel,260000,12.468440756144114
Maruti Suzuki,3,71000.0,Manual,first,petrol,475000,13.07107218827772
Hyundai,1,4800.0,Automatic,second,diesel,1950000,14.48334044336031
Maruti Suzuki,7,59000.0,Manual,first,petrol,515000,13.151924121391561
Honda,13,75875.0,Automatic,second,petrol,295000,12.59473402514672
Kia,4,109000.0,Manual,first,diesel,975000,13.790193775620484
Mercedes-Benz,18,92000.0,Automatic,second,diesel,500000,13.122365377402328
Jaguar,10,41000.0,Automatic,second,diesel,2525000,14.741752016731123
Maruti Suzuki,2,76000.0,Manual,first,petrol,1000000,13.815511557963774
Mini,4,120000.0,Automatic,first,petrol,4450000,15.308414878861498
Hyundai,8,81982.0,Automatic,first,diesel,695000,13.451668563394815
Mahindra,14,300000.0,Manual,first,diesel,199000,12.201065128819632
Mahindra,7,59000.0,Manual,first,diesel,850000,13.652992804936396
